
      DEVICE_ID[0x01]: 0x00000020 0b_0000_0000_0000_0000_0000_0000_0010_0000
       INT_STAT[0x02]: 0x00000600 0b_0000_0000_0000_0000_0000_0110_0000_0000
            CRC[0x03]: 0x0000ffff 0b_0000_0000_0000_0000_1111_1111_1111_1111
   IN_STAT_MISC[0x04]: 0x000000a0 0b_0000_0000_0000_0000_0000_0000_1010_0000
   IN_STAT_COMP[0x05]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
   IN_STAT_ADC0[0x06]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
   IN_STAT_ADC1[0x07]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
IN_STAT_MATRIX0[0x08]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
IN_STAT_MATRIX1[0x09]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
      ANA_STAT0[0x0a]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
      ANA_STAT1[0x0b]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
      ANA_STAT2[0x0c]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
      ANA_STAT3[0x0d]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
      ANA_STAT4[0x0e]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
      ANA_STAT5[0x0f]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
      ANA_STAT6[0x10]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
      ANA_STAT7[0x11]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
      ANA_STAT8[0x12]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
      ANA_STAT9[0x13]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
     ANA_STAT10[0x14]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
     ANA_STAT11[0x15]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
     ANA_STAT12[0x16]: 0x00000196 0b_0000_0000_0000_0000_0000_0001_1001_0110
         CONFIG[0x1a]: 0x00832800 0b_0000_0000_1000_0011_0010_1000_0000_0000
          IN_EN[0x1b]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
      CS_SELECT[0x1c]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
        WC_CFG0[0x1d]: 0x00492492 0b_0000_0000_0100_1001_0010_0100_1001_0010
        WC_CFG1[0x1e]: 0x00600012 0b_0000_0000_0110_0000_0000_0000_0001_0010
       CCP_CFG0[0x1f]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
       CCP_CFG1[0x20]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
     THRES_COMP[0x21]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
   INT_EN_COMP1[0x22]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
   INT_EN_COMP2[0x23]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
    INT_EN_CFG0[0x24]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
    INT_EN_CFG1[0x25]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
    INT_EN_CFG2[0x26]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
    INT_EN_CFG3[0x27]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
    INT_EN_CFG4[0x28]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
     THRES_CFG0[0x29]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
     THRES_CFG1[0x2a]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
     THRES_CFG2[0x2b]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
     THRES_CFG3[0x2c]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
     THRES_CFG4[0x2d]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
  THRESMAP_CFG0[0x2e]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
  THRESMAP_CFG1[0x2f]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
  THRESMAP_CFG2[0x30]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
         MATRIX[0x31]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
           MODE[0x32]: 0x00000000 0b_0000_0000_0000_0000_0000_0000_0000_0000
           
           
